,game_date,home_team,away_team,is_day_game,venue,venue_name,city,distance_from_last_location_home_team,distance_from_last_location_away_team
1382,20000718,TBA,ATL,False,STP01,Tropicana Field,St. Petersburg,7290.366266978277,8031.943293392625
1383,20000718,TOR,NYN,False,TOR02,Rogers Centre,Toronto,0.0,10370.136876523953
1384,20000719,ARI,SLN,False,PHO01,Chase Field,Phoenix,0.0,2048.454010383616
1385,20000719,CHN,PHI,False,CHI11,Wrigley Field,Chicago,10159.00877586389,2340.6634690553337
1386,20000719,HOU,CIN,False,HOU03,Minute Maid Park,Houston,1830.9507633957282,1436.4350581751028
1387,20000719,LAN,COL,False,LOS03,Dodger Stadium,Los Angeles,3974.8856076394213,3116.7441599966605
1388,20000719,MIL,PIT,False,MIL05,County Stadium,Milwaukee,522.3574047614876,719.6245108451392
1389,20000719,MON,NYN,False,MON02,Stade Olympique,Montreal,0.0,10411.694360321466
1390,20000719,SFN,SDN,False,SFO03,Oracle Park,San Francisco,4175.4954817182615,4139.030509038558
1391,20000719,ANA,TEX,False,ANA01,Angel Stadium of Anaheim,Anaheim,0.0,1938.5131194406656
1392,20000719,CLE,KCA,False,CLE08,Progressive Field,Cleveland,496.24153962192827,305.26178960405156
1393,20000719,MIN,CHA,False,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,0.0,1398.8578169230404
1394,20000719,NYA,DET,False,NYC16,Yankee Stadium I,New York,3926.295550369479,4125.771095207903
1395,20000719,OAK,SEA,False,OAK01,Oakland-Alameda County Coliseum,Oakland,0.0,1088.5959671863218
1396,20000719,TOR,TBA,False,TOR02,Rogers Centre,Toronto,0.0,1115.7884411086127
1397,20000720,ARI,SLN,True,PHO01,Chase Field,Phoenix,0.0,2048.454010383616
1398,20000720,CHN,PHI,True,CHI11,Wrigley Field,Chicago,10159.00877586389,2340.6634690553337
1399,20000720,FLO,ATL,True,MIA01,Sun Life Stadium,Miami,0.0,972.4494372160073
1400,20000720,FLO,ATL,False,MIA01,Sun Life Stadium,Miami,0.0,972.4494372160073
1401,20000720,HOU,CIN,False,HOU03,Minute Maid Park,Houston,1830.9507633957282,1436.4350581751028
1402,20000720,LAN,COL,False,LOS03,Dodger Stadium,Los Angeles,3974.8856076394213,3116.7441599966605
1403,20000720,MIL,PIT,True,MIL05,County Stadium,Milwaukee,522.3574047614876,719.6245108451392
1404,20000720,MON,NYN,True,MON02,Stade Olympique,Montreal,0.0,10411.694360321466
1405,20000720,SFN,SDN,True,SFO03,Oracle Park,San Francisco,4175.4954817182615,4139.030509038558
1406,20000720,ANA,TEX,False,ANA01,Angel Stadium of Anaheim,Anaheim,0.0,1938.5131194406656
1407,20000720,BAL,BOS,True,BAL12,Oriole Park at Camden Yards,Baltimore,0.0,3756.165388391585
1408,20000720,BAL,BOS,False,BAL12,Oriole Park at Camden Yards,Baltimore,0.0,3756.165388391585
1409,20000720,CLE,KCA,False,CLE08,Progressive Field,Cleveland,496.24153962192827,305.26178960405156
1410,20000720,MIN,CHA,True,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,0.0,1398.8578169230404
1411,20000720,NYA,DET,True,NYC16,Yankee Stadium I,New York,3926.295550369479,4125.771095207903
1412,20000720,OAK,SEA,True,OAK01,Oakland-Alameda County Coliseum,Oakland,0.0,1088.5959671863218
1413,20000720,TOR,TBA,False,TOR02,Rogers Centre,Toronto,0.0,1115.7884411086127
1414,20000721,ATL,NYN,False,ATL02,Turner Field,Atlanta,0.0,11057.205374622527
1415,20000721,CHN,MIL,True,CHI11,Wrigley Field,Chicago,10159.00877586389,405.5294155055259
1416,20000721,CIN,ARI,False,CIN08,Cinergy Field,Cincinnati,0.0,2543.8372888924696
1417,20000721,COL,SDN,False,DEN02,Coors Field,Denver,1950.2528819683787,2625.182512547208
1418,20000721,FLO,MON,False,MIA01,Sun Life Stadium,Miami,0.0,2267.734906776103
1419,20000721,HOU,SLN,False,HOU03,Minute Maid Park,Houston,1830.9507633957282,1092.9069898924142
1420,20000721,LAN,SFN,False,LOS03,Dodger Stadium,Los Angeles,3974.8856076394213,3764.185821582286
1421,20000721,PIT,PHI,False,PIT07,Three Rivers Stadium,Pittsburgh,0.0,2943.488746966535
1422,20000721,BOS,CHA,False,BOS07,Fenway Park,Boston,4010.9713255337056,2523.74643364182
1423,20000721,DET,KCA,False,DET05,Comerica Park,Detroit,3353.596216190899,332.8036156009211
1424,20000721,MIN,CLE,False,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,0.0,1511.137712694077
1425,20000721,NYA,TBA,False,NYC16,Yankee Stadium I,New York,3926.295550369479,1639.5596537580507
1426,20000721,OAK,ANA,False,OAK01,Oakland-Alameda County Coliseum,Oakland,0.0,590.7929464473488
1427,20000721,SEA,TEX,False,SEA03,Safeco Field,Seattle,0.0,2688.6517471925995
1428,20000721,TOR,BAL,False,TOR02,Rogers Centre,Toronto,0.0,536.9665792494985
1429,20000722,ATL,NYN,True,ATL02,Turner Field,Atlanta,0.0,11057.205374622527
1430,20000722,CHN,MIL,True,CHI11,Wrigley Field,Chicago,10159.00877586389,405.5294155055259
